# QST Category Mapping - v3 (Updated based on user feedback)
#
# CLASSIFICATION DISCREPANCIES:
#   DISCREP_IN_ERROR - Unresolved
#   DISCREP_IGNORED - Error ignored, result reported
#   DISCREP_RESULT_CHANGED - Result changed (test repeated)
#   DISCREP_NEEDS_CLS_DATA - BLA resolution, needs machine_cls/final_cls data
#
# SAMPLE SOP ERRORS:
#   SOP_UNRESOLVED - Unresolved
#   SOP_IGNORED - Error ignored, result reported
#   SOP_REPEATED - Test repeated/excluded
#
# CONTROL ERRORS:
#   CONTROL_UNRESOLVED - Unresolved
#   CONTROL_IGNORED - Error ignored, deemed acceptable
#   CONTROL_REPEATED - Control repeated/excluded
#   CONTROL_AFFECTED_SAMPLE - INHERITED_*_FAILURE (for Controls appendix)
#
# VALID RESULTS:
#   VALID_DETECTED - No error, DETECTED
#   VALID_NOT_DETECTED - No error, NOT DETECTED
#   VALID_CONTROL - No error, control well
#   VALID_OTHER - No error, other status
#
# SPECIAL CATEGORIES:
#   IGNORE_WELL - Wells to ignore (MIX_MISSING, UNKNOWN_MIX, etc.)
#   NEEDS_REVIEW - Unclear, needs manual review
#
WELL_TYPE,ERROR_CODE,ERROR_MESSAGE,RESOLUTION_CODES,WELL_LIMS_STATUS,OCCURRENCE_COUNT,CATEGORY,NOTES
SAMPLE,,,[],NOT DETECTED,280100,VALID_NOT_DETECTED,No error - NOT DETECTED
SAMPLE,,,[],DETECTED,62533,VALID_DETECTED,No error - DETECTED
CONTROL,,,[],,26788,VALID_CONTROL,"Passed control - No error, no lims, no resolution"
SAMPLE,MIX_MISSING,The mix has not been recognised. Please fix and re-import,[],,22785,IGNORE_WELL,MIX_MISSING - Ignore such wells
SAMPLE,INHERITED_EXTRACTION_FAILURE,An associated extraction control has failed. That error must be resolved before this well can be exported.,[],,8816,CONTROL_AFFECTED_SAMPLE,INHERITED_EXTRACTION_FAILURE - Affected sample for control (Controls appendix only)
SAMPLE,THRESHOLD_WRONG,Incorrect threshold set. Please fix and re-import,[],,7005,SOP_UNRESOLVED,THRESHOLD_WRONG - Unresolved
SAMPLE,,,SKIP,EXCLUDE,5414,SOP_REPEATED,Excluded (no error code) - Counts as resolved error
SAMPLE,INH_WELL,The IC is inhibited,[],,4729,SOP_UNRESOLVED,INH_WELL - Unresolved
SAMPLE,,,[],,3472,IGNORE_WELL,"No error, no lims_status - Ignore such wells"
SAMPLE,ADJ_CT,Cross-contamination concern,[],,3065,SOP_UNRESOLVED,ADJ_CT - Unresolved
SAMPLE,,,BLA,NOT DETECTED,2797,DISCREP_NEEDS_CLS_DATA,BLA + NOT DETECTED - Classification discrepancy (need machine_cls/final_cls)
SAMPLE,DO_NOT_EXPORT,Flag as High CT - do not export without review,[],,2583,SOP_UNRESOLVED,DO_NOT_EXPORT - Unresolved
SAMPLE,INCONCLUSIVE_WELL,Result is inconclusive,[],,2528,SOP_UNRESOLVED,INCONCLUSIVE_WELL - Unresolved
SAMPLE,,,[],REAMP,2517,IGNORE_WELL,"No error code, standalone REAMP - Ignore such wells"
SAMPLE,CLSDISC_WELL,There are one or more classification discrepancies.,[],,2340,DISCREP_IN_ERROR,CLSDISC_WELL - Classification discrepancy (requires machine_cls/final_cls to determine if result changed)
SAMPLE,EXTRACTION_CONTROLS_MISSING,This well is missing the required associated extraction controls. Review required.,[],,2028,SOP_UNRESOLVED,EXTRACTION_CONTROLS_MISSING - Unresolved
SAMPLE,,,BLA,DETECTED,1666,DISCREP_NEEDS_CLS_DATA,BLA + DETECTED - Classification discrepancy (need machine_cls/final_cls)
CONTROL,THRESHOLD_WRONG,Incorrect threshold set. Please fix and re-import,[],,1374,SOP_UNRESOLVED,THRESHOLD_WRONG - Unresolved
SAMPLE,,,[],REXCT,1327,IGNORE_WELL,"No error code, standalone REXCT - Ignore such wells"
SAMPLE,,,SKIP,DETECTED,1241,SOP_IGNORED,"SKIP + DETECTED - Error suppressed, result reported"
CONTROL,,,SKIP,,981,IGNORE_WELL,"No error, no lims_status - Ignore such wells"
SAMPLE,,,[],MPX & OPX NOT DETECTED,977,VALID_NOT_DETECTED,No error - NOT DETECTED
SAMPLE,,,SKIP,REXCT,840,SOP_REPEATED,SKIP + REXCT - Test repeated due to suppressed error
CONTROL,MIX_MISSING,The mix has not been recognised. Please fix and re-import,[],,816,IGNORE_WELL,MIX_MISSING - Ignore such wells
